Licence: Creative Commons Attribution 4.0 International (CC-BY 4.0) Licence.																									
"Citation: ISONET Project Members; Schleser, Gerhard Hans; Andreu-Hayles, Laia; Bednarz, Zdzislaw; Berninger, Frank; Boettger, Tatjana; Dorado-Liñán, Isabel; Esper, Jan; Grabner, Michael; Gutiérrez, Emilia; Helle, Gerhard; Hilasvuori, Emmi; Jugner, Högne; Kalela-Brundin, Maarit; Kr_piec, Marek; Leuenberger, Markus; Loader, Neil J.; Masson-Delmotte, Valérie; Pawe_czyk, S_awomira; Pazdur, Anna; Pukien_, R_til_; Rinne-Garmston, Katja T.; Saracino, Antonio; Saurer, Matthias; Sonninen, Eloni; Stiévenard, Michel; Switsur, Vincent R.; Szychowska-Kr_piec, El_bieta; Szczepanek, M.; Todaro, Luigi; Treydte, Kerstin; Vitas, Adomas; Waterhouse, John S.; Weigl-Kuska, Martin; Wimmer, Rupert (2023): Stable carbon isotope ratios of tree-ring cellulose from the site network of the EU-Project ‘ISONET’. GFZ Data Services. https://doi.org/10.5880/GFZ.4.3.2023.002"																									
																									
Site Code	BRO	CAV 	CAZ 	COL   	DRA 	FON 	GUT 	ILO	INA 	AHI	LAI 	LIL	LOC 	NIE1	NIE2	PAN 	PED 	POE 	REN 	SER	SUW 	VIG 	VIN 	WIN	WOB 
Site  name	Bromarv	Cavergno	Cazorla	Col Du Zad 	Dransfeld	Fontainebleau	Gutuli	Sivakkovaara	Inari	Perchtoldsdorf Wehrturm, Gaaden Glockenturm, Klosterneuburg Glockenturm	Lainzer Tiergarten	Pinar de Lillo	Lochwood	Niepolomice	Niepolomice	Panemunes	Pedraforca	Poellau	Renn	Monte Pollino	Suwalki	Vigera	Vinuesa	Windsor	Woburn
Country	Finland	Switzerland	Spain	Morocco	Germany	France	Norway	Finland	Finland	Austria	Austria	Spain	United Kingdom	Poland	Poland	Lithuania	Spain	Austria	France	Italy	Poland	Switzerland	Spain	United Kingdom	United Kingdom
Latitude	60.00	46.35	37.93	32.97	51.51	48.38	62.00	62.98	68.93	48.25	48.18	43.07	55.27	50.03	50.03	54.09	42.23	47.31	48.02	39.93	53.95	46.05	42.00	51.43	51.98
Longitude	23.08	8.6	-2.97	-5.07	9.78	2.67	12.18	31.27	28.31	16.77	16.20	-5.25	-3.43	20.35	20.35	23.96	1.70	15.81	-1.83	16.21	23.25	8.77	2.75	-0.61	-0.59
Species	Quercus robur	Quercus petraea	Pinus nigra	Cedrus atlantica	Quercus petraea	Quercus petraea	Pinus sylvestris	Pinus sylvestris	Pinus sylvestris	Quercus petraea	Quercus petraea	Pinus sylvestris	Quercus petraea	Quercus robur	Pinus sylvestris	Pinus sylvestris	Pinus uncinata	Pinus nigra	Quercus robur	Pinus leucodermis	Pinus sylvestris	Pinus sylvestris	Pinus uncinata	Pinus sylvestris	Pinus sylvestris
First year CE	1901	1637	1600	1600	1776	1600	1600	1600	1600	1600	1812	1600	1749	1627	1627	1816	1600	1600	1611	1604	1600	1675	1850	1763	1604
Last year CE	2002	2002	2002	2000	1999	2000	2003	2002	2002	1883	2003	2002	2003	2003	2003	2002	2003	2002	1998	2003	2004	2003	1999	2003	2003
elevation a.s.l.	5	900	1820	2200	320	100	800	200	150	n.s.	300	1600	175	190	190	45	2120	500	100	1900	160	1400	1950	80	10
Year CE	13CVPDB	13CVPDB	13CVPDB	13CVPDB	13CVPDB	13CVPDB	13CVPDB	13CVPDB	13CVPDB	13CVPDB	13CVPDB	13CVPDB	13CVPDB	13CVPDB	13CVPDB	13CVPDB	13CVPDB	13CVPDB	13CVPDB	13CVPDB	13CVPDB	13CVPDB	13CVPDB	13CVPDB	13CVPDB
1600	NA	NA	-21,1	-20,5	NA	-23,65	-23,16	-23,8	-26,1	-23,9	NA	-21,4	NA	NA 	NA 	NA 	-22,03	-23,9	NA	NA	-23,5	NA	NA	NA	NA 
1601	NA	NA	-21,0	-20,5	NA	-23,60	-22,29	-22,6	-26,3	-23,9	NA	-21,7	NA	NA 	NA 	NA 	-21,63	-23,9	NA	NA	-23,5	NA	NA	NA	NA 
1602	NA	NA	-20,9	-20,5	NA	-23,60	-23,30	-23,4	-25,8	-23,6	NA	-21,7	NA	NA 	NA 	NA 	-22,64	-23,4	NA	NA	-23,4	NA	NA	NA	NA 
1603	NA	NA	-20,9	-20,8	NA	-24,58	-22,60	-23,3	-25,5	-23,8	NA	-23,7	NA	NA 	NA 	NA 	-22,01	-23,7	NA	NA	-23,6	NA	NA	NA	NA 
1604	NA	NA	-21,7	-21,3	NA	-24,40	-23,14	-23,9	-25,6	-23,9	NA	-22,4	NA	NA 	NA 	NA 	-21,76	-24,1	NA	-22,2	-23,7	NA	NA	NA	-23,9
1605	NA	NA	-21,3	-21,0	NA	-24,33	-24,43	-23,3	-25,1	-23,7	NA	-22,0	NA	NA 	NA 	NA 	-22,20	-23,5	NA	-22,3	-23,4	NA	NA	NA	-24,2
1606	NA	NA	-20,5	-20,3	NA	-24,06	-23,69	-23,2	-24,5	-24,0	NA	-21,9	NA	NA 	NA 	NA 	-21,19	-23,5	NA	-21,9	-23,3	NA	NA	NA	-24,1
1607	NA	NA	-20,9	-20,3	NA	-23,54	-23,99	-23,8	-24,9	-24,1	NA	-21,9	NA	NA 	NA 	NA 	-21,43	-23,1	NA	-21,2	-23,8	NA	NA	NA	-22,7
1608	NA	NA	-21,0	-20,1	NA	-24,62	-24,03	-23,6	-25,6	-24,3	NA	-21,6	NA	NA 	NA 	NA 	-21,07	-22,9	NA	-21,4	-23,9	NA	NA	NA	-23,6
1609	NA	NA	-21,1	-20,3	NA	-23,32	-23,35	-23,3	-25,7	-24,6	NA	-21,4	NA	NA 	NA 	NA 	-22,07	-23,9	NA	-22,0	-23,5	NA	NA	NA	-23,2
1610	NA	NA	-21,1	-20,1	NA	-23,53	-23,05	-23,1	-25,5	-24,3	NA	-20,7	NA	NA 	NA 	NA 	-21,82	-24,3	NA	-22,2	-23,5	NA	NA	NA	-23,5
1611	NA	NA	-21,2	-20,7	NA	-23,78	-23,23	-23,2	-25,2	-24,3	NA	-22,2	NA	NA 	NA 	NA 	-20,94	-22,8	-23,07	-21,1	-23,6	NA	NA	NA	-23,1
1612	NA	NA	-21,7	-20,6	NA	-23,93	-23,40	-23,0	-24,9	-23,9	NA	-22,2	NA	NA 	NA 	NA 	-21,51	-23,8	-22,64	-21,8	-23,0	NA	NA	NA	-23,4
1613	NA	NA	-21,4	-20,7	NA	-24,58	-23,08	-23,1	-25,6	-24,4	NA	-22,1	NA	NA 	NA 	NA 	-21,38	-23,1	-23,36	-21,3	-22,6	NA	NA	NA	-24,7
1614	NA	NA	-20,7	-20,2	NA	-24,26	-22,46	-23,6	-25,6	-23,9	NA	-21,5	NA	NA 	NA 	NA 	-21,39	-25,0	-23,31	-21,5	-23,3	NA	NA	NA	-24,2
1615	NA	NA	-20,8	-20,5	NA	-24,20	-23,51	-23,3	-26,3	-23,9	NA	-21,2	NA	NA 	NA 	NA 	-21,86	-23,1	-23,36	-21,6	-23,0	NA	NA	NA	NA
1616	NA	NA	-21,4	-20,8	NA	-24,55	-22,84	-23,5	-25,9	-23,0	NA	-21,6	NA	NA 	NA 	NA 	-22,15	-24,7	-24,33	-21,9	-23,0	NA	NA	NA	NA
1617	NA	NA	-21,1	-21,0	NA	-24,03	-22,91	-23,1	-25,5	-24,6	NA	-22,1	NA	NA 	NA 	NA 	-22,06	-23,4	-24,18	-22,3	-22,8	NA	NA	NA	-24,8
1618	NA	NA	-20,7	-21,0	NA	-24,36	-23,72	-23,5	-25,4	-24,7	NA	-23,2	NA	NA 	NA 	NA 	-22,10	-23,3	-24,56	-21,6	-23,4	NA	NA	NA	-24,4
1619	NA	NA	-21,2	-21,1	NA	-24,21	-24,51	-23,5	-25,2	-24,5	NA	-22,4	NA	NA 	NA 	NA 	-21,06	-23,4	-24,49	-21,9	-22,5	NA	NA	NA	-23,7
